CVE ID,Link to CVE,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Authentication,Gained Access,Vulnerability Type(s)
CVE-2017-1000246,https://www.cvedetails.com/cve/CVE-2017-1000246/,5.0,Partial,None,None,Not required,None,-
CVE-2017-1000245,https://www.cvedetails.com/cve/CVE-2017-1000245/,5.0,Partial,None,None,Not required,None,-
CVE-2017-1000244,https://www.cvedetails.com/cve/CVE-2017-1000244/,6.8,Partial,Partial,Partial,Not required,None,CSRF
CVE-2017-1000243,https://www.cvedetails.com/cve/CVE-2017-1000243/,4.0,None,Partial,None,???,None,-
CVE-2017-1000241,https://www.cvedetails.com/cve/CVE-2017-1000241/,6.5,Partial,Partial,Partial,???,None,-
CVE-2017-1000238,https://www.cvedetails.com/cve/CVE-2017-1000238/,6.5,Partial,Partial,Partial,???,None,-
CVE-2017-1000237,https://www.cvedetails.com/cve/CVE-2017-1000237/,7.5,Partial,Partial,Partial,Not required,None,-
CVE-2017-1000236,https://www.cvedetails.com/cve/CVE-2017-1000236/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2017-1000235,https://www.cvedetails.com/cve/CVE-2017-1000235/,10.0,Complete,Complete,Complete,Not required,None,-
CVE-2017-1000234,https://www.cvedetails.com/cve/CVE-2017-1000234/,5.0,Partial,None,None,Not required,None,Obtain Information
CVE-2017-1000232,https://www.cvedetails.com/cve/CVE-2017-1000232/,7.5,Partial,Partial,Partial,Not required,None,-
CVE-2017-1000231,https://www.cvedetails.com/cve/CVE-2017-1000231/,7.5,Partial,Partial,Partial,Not required,None,-
CVE-2017-1000230,https://www.cvedetails.com/cve/CVE-2017-1000230/,5.0,None,None,Partial,Not required,None,Denial Of Service
CVE-2017-1000229,https://www.cvedetails.com/cve/CVE-2017-1000229/,6.8,Partial,Partial,Partial,Not required,None,Denial Of Service
CVE-2017-1000229,https://www.cvedetails.com/cve/CVE-2017-1000229/,6.8,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2017-1000229,https://www.cvedetails.com/cve/CVE-2017-1000229/,6.8,Partial,Partial,Partial,Not required,None,Overflow
CVE-2017-1000228,https://www.cvedetails.com/cve/CVE-2017-1000228/,10.0,Complete,Complete,Complete,Not required,None,Execute Code
CVE-2017-1000226,https://www.cvedetails.com/cve/CVE-2017-1000226/,5.0,Partial,None,None,Not required,None,Obtain Information
CVE-2017-1000225,https://www.cvedetails.com/cve/CVE-2017-1000225/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2017-1000224,https://www.cvedetails.com/cve/CVE-2017-1000224/,4.3,None,Partial,None,Not required,None,CSRF
CVE-2017-1000221,https://www.cvedetails.com/cve/CVE-2017-1000221/,4.0,Partial,None,None,???,None,-
CVE-2017-1000220,https://www.cvedetails.com/cve/CVE-2017-1000220/,7.5,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2017-1000219,https://www.cvedetails.com/cve/CVE-2017-1000219/,7.5,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2017-1000218,https://www.cvedetails.com/cve/CVE-2017-1000218/,7.5,Partial,Partial,Partial,Not required,None,Denial Of Service
CVE-2017-1000218,https://www.cvedetails.com/cve/CVE-2017-1000218/,7.5,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2017-1000218,https://www.cvedetails.com/cve/CVE-2017-1000218/,7.5,Partial,Partial,Partial,Not required,None,Overflow
CVE-2017-1000217,https://www.cvedetails.com/cve/CVE-2017-1000217/,6.8,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2017-1000215,https://www.cvedetails.com/cve/CVE-2017-1000215/,10.0,Complete,Complete,Complete,Not required,None,Execute Code
CVE-2017-1000214,https://www.cvedetails.com/cve/CVE-2017-1000214/,10.0,Complete,Complete,Complete,Not required,None,-
CVE-2017-1000212,https://www.cvedetails.com/cve/CVE-2017-1000212/,7.5,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2017-1000211,https://www.cvedetails.com/cve/CVE-2017-1000211/,5.0,Partial,None,None,Not required,None,-
CVE-2017-1000210,https://www.cvedetails.com/cve/CVE-2017-1000210/,7.5,Partial,Partial,Partial,Not required,None,Denial Of Service
CVE-2017-1000210,https://www.cvedetails.com/cve/CVE-2017-1000210/,7.5,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2017-1000210,https://www.cvedetails.com/cve/CVE-2017-1000210/,7.5,Partial,Partial,Partial,Not required,None,Overflow
CVE-2017-1000209,https://www.cvedetails.com/cve/CVE-2017-1000209/,4.3,Partial,None,None,Not required,None,-
CVE-2017-1000208,https://www.cvedetails.com/cve/CVE-2017-1000208/,6.8,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2017-1000207,https://www.cvedetails.com/cve/CVE-2017-1000207/,6.8,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2017-1000206,https://www.cvedetails.com/cve/CVE-2017-1000206/,7.5,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2017-1000206,https://www.cvedetails.com/cve/CVE-2017-1000206/,7.5,Partial,Partial,Partial,Not required,None,Overflow
CVE-2017-1000203,https://www.cvedetails.com/cve/CVE-2017-1000203/,9.0,Complete,Complete,Complete,???,None,Execute Code
CVE-2017-1000200,https://www.cvedetails.com/cve/CVE-2017-1000200/,5.0,None,None,Partial,Not required,None,Denial Of Service
CVE-2017-1000199,https://www.cvedetails.com/cve/CVE-2017-1000199/,5.0,Partial,None,None,Not required,None,Obtain Information
CVE-2017-1000198,https://www.cvedetails.com/cve/CVE-2017-1000198/,5.0,None,None,Partial,Not required,None,Denial Of Service
CVE-2017-1000198,https://www.cvedetails.com/cve/CVE-2017-1000198/,5.0,None,None,Partial,Not required,None,Overflow
CVE-2017-1000197,https://www.cvedetails.com/cve/CVE-2017-1000197/,7.5,Partial,Partial,Partial,Not required,None,-
CVE-2017-1000196,https://www.cvedetails.com/cve/CVE-2017-1000196/,7.5,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2017-1000195,https://www.cvedetails.com/cve/CVE-2017-1000195/,6.4,None,Partial,Partial,Not required,None,-
